app,review,score
Gojek,"masih sering Error dan nggak bagus karna Sering Dpt Double Order sangat tidak Profesional dan SistemNya Jelek. Very2 Bad?,,,,,,,",1
Gojek,seneng banyak discon dan voucher,5
Gojek,lemot,1
Gojek,"beberapa driver mu gak profesional noh, dh di taro depan gerbang sesuai titik masih nanya dimana, udah itu gak jalan jalan lagi, buat orang telat aja anj",2
Gojek,senang sekali sangat membantu transportasi saya,5
Gojek,SIOMAY AKANG KITCHEN SINGGAHRASA BANDOENG MANYARSAKTI KAWASAN UNRI ⭐⭐⭐⭐⭐,5
Gojek,boleh lah bang kasih fitur kalau yang suka bayar ditempat trus dicancel biar ojolnya ga rugi dong ada kasus nih di tiktok soalnya,5
Gojek,keren dan fast,5
Gojek,Ok banget,5
Gojek,"pengguna bertahun-tahun baru kali ini kecewa berat. pesan gocar, mobil malah menjauh, di chat nggak bls. nunggu sampe setengah jam.. pesan sampai 2x kejadian sama. mana kepotong biaya pembatalan.. gilak sihh ini mahh namanya pemerasan!!!!",1
Gojek,🥰,5
Gojek,sumua fasilitas dan layanan bagus,5
Gojek,soalnya potongan buat para gojek nya besar jadi 3 bintang aja,3
Gojek,tolong untuk para driver yang sering curang di kasih sanksi apa kek gitu jgn diem. aja ga mau lagi pake apk ini,1
Gojek,"Sejauh ini untuk aplikasi aman aja, cuma beberapa kali saya menemukan driver yang pelayanannya kurang banget, gamau berhenti di kanan lah, gamau pindahin rute lah, padahal jarak tempuh dan tujuannya sama, hanya rute yang dipindahkan, kemudian sepanjang jalan pengemudi nyerocos aja, ini komplen yang begini dimana si? kalo disini kayaknya kurang enak tapi saya mau lapor sih, beberapa kali lho, spesifikasinya itu gocar ya, saya jadi ga nyaman pake gocar karna ini",3
Gojek,"driver udah dapet , udh nungguin mau berangkat kerja malah tiba2 dikensel drivernya. GOJEK GIMANA TUH DRIVER2 MU PADA MALAS KERJA! KALO GAMAU KERJA JANGAN JADI OJEK ONLINE! Mending pake aplikasi kuning , drivernya ramah2.",1
Gojek,"aman,tp tarifnya cepat berubah ....",5
Gojek,rekomendasi untuk transportasi,5
Gojek,garcep 🫶🏻,5
Gojek,aplikasinya membantu buat saya jika motor saya di pakai orang rumahh,5
Gojek,semoga semakin lebih baik,5
Gojek,berguna,5
Gojek,senang,5
Gojek,sangat puas,5
Gojek,"mudah, armada banyak, langsung pantau perjalanan",5
Gojek,jln nya bagus tidak ngebut dan rahmah mudah di ajak komonokasi.,4
Gojek,cepat Dan tepat,5
Gojek,Mantab jiwa,5
Gojek,tidak sesuai estimasi,1
Gojek,Sebelumnya sangat membantu untuk perjalanan ko sekarang aprikasinya gx bisa di gunakan tolong aktifkan lagi,5
Gojek,1000 x terimakasih,5
Gojek,"driver dengan nama 'Wisnoe Wardhani' Honda Vario plat :T417811 gak sopan, sok kenal. padahal cuma karena dapat driver yg sama 2 kali Gausah sok merasa akrab ya, kalo transaksi selesai itu ya selesai lah! jangan ada driver bisa hubungin pelanggan nya, juga kontak atau nomor pelanggan di buat gak terlihat aja sekalian, ini juga soal privasi!. jadi buat para driver, kalo transaksi selesai gausah sok ya kalian, saya gak segan ngasih bintang 1.",1
Gojek,Tolong di perbaiki lagi dengan kondisi yang sekarang banyak driver yang susah makan dan penghasilan turun sampai rela tidur di jalan miris banget denger keluh kesah para driver gojek semoga ada kebijakan dengan kondisi sprti ini tidak manusiawi dan banyak korupsinya parah !!!,1
Gojek,Aman dan nyaman,5
Gojek,permainan bolak balok hadiah 10.000 cuman bohong. punya ruby sebanyak apa pun tetap ngak bisa menang.ruby habis dan ngak bisa menang. menang juga hadiah ngak bakal di kasi. ada aktivitas mencurigakan dan hadiah tidak di berikan,1
Gojek,keren,5
Gojek,"nyari driver susah, nunggu lamaa banget ujung ujungnya dibatalin ga dapet driver. buang buang waktu",1
Gojek,driver nya klo malam hari ga bisa di andalkan,1
Gojek,"kenapa ini gomart skrg kayak gini ya mau pesan makanan di Alfamart koq ga muncul semua itemnya, mau pesan sari roti aja koq saya ketik ga muncul ya ga kayak dulu ah auto uninstall...",2
Gojek,bgus,5
Gojek,no ribet,5
Gojek,mau buat akun malah ga bisa disuruh nunggu 30 jam,1
Gojek,sering error udah di apdet masih error terus busuk,1
Gojek,banyak promo yang menarik,5
Gojek,"Sudah sangat bagus, namun kurang pada pemesanan kompleks",4
Gojek,ngeri dc nya telat 2 hari pake paylter.dah ancam² ajah.30 rbu dendanya 50.mulai hari ini gw unisntall gojek.najis dc nya,1
Gojek,"pliss gojek kenapa yaa skrg malah makin susah nyari driver padahal udah di pusat kota. kaya drivernya banyakan milih, apalagi kalau pakai yg namanya ""hemat"" pasti bisa ±20 menit dpt driver kenapa gt yaa, beda sama apk sebelah gerceuppp. ga kaya dulu lagi org""nya konsisten ga banyak milih hmmm hujan badai angin ribut di terabas emg ga semua begitu tapi makin lama makin "" kebanyakan "" kecewa berat 🙃🙃",2
Gojek,"update teruss, ORANG PERLU URGENT JADI SUSAH, APK GA JELAS",1
Gojek,"Gara2 terima double order GoFood otomatis, kebetulan lagi apes dapat customer yang tidak sabaran menunggu. Padahal sudah dijelaskan status order dan kondisinya. Customer kecewa dan ditimpakan kesalahan kepada driver.",5
Gojek,membantu,5
Gojek,makin lama driver gojek ini makin ga ada loyalnya 2 jam aku nunggu pesanan makan gak sampai sampai... apa coba maksudnya ini,1
Gojek,dapat di pahami,5
Gojek,"makin kesini makin ke sana, nyari driver lama, padahal dulu gak bgini, adapun dapet tapi di cancel terus",1
Gojek,ajib pokoknya 🏅,5
Gojek,puas,4
Gojek,kenapa gaada pengiriman same day di gosend yahhh??? sebelum nya aman saja selalu ada pengiriman same day,1
Gojek,Halo kak saya tidak dapat masuk dengan ponsel x80,5
Gojek,gojek terbaik dari dulu ni aplikasi slalu di hati love banget gojek...,5
Gojek,sangat membantu 👍🏻,4
Gojek,aplikasi cacat kejebak di stasiun gabisa keluar,1
Gojek,"Aplikasi gak jelas, gak ada driver yang mau antar",1
Gojek,"saya mau keluhan sama admin gojek,ini knpa setiap mau masuk event kucing berhadiah.nggk bisa di karenakan maaalah jaringan !! padahal jaringan hp ku bagus tolong di perbaiki secepatnya",1
Gojek,beberapa kali susah buat dapet driver gofoodnya dan harus nunggu lama untuk bisa batalin sampe udah laper banget dan akhirnya dapet di aplikasi sebelah,4
Gojek,"sistem order gofood jelek bgt. kalo sulit dapat driver harus nunggu maks ±sejam buat bisa batalkan pesanan, belum lagi nunggu driver ke resto, resto buat makanan, baru dianter ke customer. terlalu banyak makan waktu. harusnya kalo sulit dapat driver maks 10-15 menit bisa dibatalkan pesanan biar customer bisa cari alternatif lain.",1
Gojek,good aplikasi,5
Gojek,hemat,5
Gojek,bagus apk nya,5
Gojek,amanah dan cepat dalam pengiriman,5
Gojek,selalu aman dalam berkendara,5
Gojek,saya kecewa sama gopay pengaduan saya tetang salah transfer sampe skarang tidak ada kejelasan mengecewakan...hati²lah transfer dari gaopay kalian ga bakal di bantu sama pihak gopay...,1
Gojek,"maaf ya gojek saya rasa akhir akhir ini driver nya itu susah di dapat jadi kalo misal pengguna pakai kupon diskon atau pakai yang hemat pasti susah dapat atau sering di tolak padahal kan kupon diskon itu hak pengguna mau pakai atau ngga ya terserah kadang heran sama driver yang tiba"" pas dateng mau harga normal/non diskon tu padahal kita juga sebagai pengguna mau yang ekonomis",2
Gojek,"sekarang gojek fitur Gi food bener2 aneh dan memperlama kegiatan, mau scroll tempat makan apa aja gak bisa karena nge bug beberapa resto berulang kali muncul. sedangkan yg dibawah2 nya tidak. kayak di setting / iklan jadi yg muncul itu itu aja. padahal yg lain buka, kalau gini bosen banget. mau liat resti baru gak bisa juga.. pake grab atau Shopee aja kalau kayak gini cara mainya. payah banget",1
Gojek,"saya baru mau mengunakan nomer saya untuk daftar gojek,perlu digarisbawahi nomer saya baru,tetapi pas saya mau daftar tetapi harus nunggu email dari email yang sama sekali bukan punya saya.sangat mengecewakan sekali kapok.",1
Gojek,"Sangat membantu,tingkatkan lagi pelayananya, trimaksih🙏",4
Gojek,the best,5
Gojek,maaf saya kasih bintang 4 karena kurang membantu saya,4
Gojek,sangat membantu pergi kmn2,5
Gojek,"bagus, membantu saya sehari-hari",5
Gojek,"apk terpercaya, yaaaa walaupunnn driver""nya ada yang ngeselin buangetttttt tapi okeyylahhh kan ga semuanya yang ngeselinnn",5
Gojek,Bagus banget ada banyak pilihan cocok untuk berpergian,5
Gojek,"susaaah cari drivernya, go send sulit dapatnya.",3
Gojek,aman terpercaya sampai Tujuan,5
Gojek,"Bagus, cepat, dan drivernya ramah2",5
Gojek,bagus aja,5
Gojek,bagus buat orang mageran kya aku,5
Gojek,"pertama kali pakai, not bad",5
Gojek,aplikasi aneh nyari drever g dpt² giliran dpt drivernya g ada yg ramah,1
Gojek,tingkatktan terus mutu pelayananya sudah bagus,5
Gojek,Mudah dimengerti,5
Gojek,Driver sopan & sabar,5
Gojek,gokil🖐😜👈,5
Gojek,knp di GO-SEND sering ada kendala kayak jadwal padat kalo nggak error padahal lagi di butuhkan,3
Gojek,"driver go foodnya gak bisa dipantau ,susah juga",5
Gojek,menyenangkan,5
Gojek,membantu banget,5
Gojek,lancar dan bermanfaat,5
Gojek,"driver datang tepat waktu, mengantarkan penumpang dengan selamat, pelayanan ramah, membawa kendaraan dengan hati-hati, memuaskan, terima kasih.",5
Gojek,"KECEWA BANGET. SAYA PESAN GOCAR UNTUK IBU SAYA, DRIVER NGGAK MAU KE TITIK JEMPUT MALAH NYURUH PENUMPANG JALAN KE DRIVER. PAS SAYA BILANG IBU SAYA SUDAH TUA NGGAK BISA KE ARAH DRIVER MALAH DIBATALKAN SEPIHAK. APA PERLU SAYA SHARE NOPOL MOBILNYA?",4
Gojek,"lumayan, tapi kemarin Sabtu,9-5-2026 aku pesen goride tapi alamatnya malah kebalik, jemputnya malah di alamat tujuan. Padahal saya menulisnya benar lo",3
Gojek,"lovvv bangettt, harganya terjangkau, cocok banget kalo mau pergi tapi ga ada kendaraan/ga ada yg antar, kalo mau makanan tapi males pergi jauh jauh best banget pokoknya, tapi sayangnya ga banyak resto/toko yg pakai ini..",5
Gojek,okeh,5
Gojek,"saya orang resto, ini selalu aja kayak gini ya , kalo makanan sudah siap gak ada driver yang jemput, giliran belum siap mereka malah pada ngeluh ""lama banget bikin pesenan nya"" kebanyakan driver gojek suka marah marah kalo pesenan ya belum jadi giliran udah jadi gaka ada yang ngambil. entah karna ongkos nya yang kemurahan atau gimana, tapi ini udah sering kayak gini ya, saya yang kerja di resto selalu nombok kalo makananya di cancel. kesel banget saya",1
Gojek,mudah dan pelayanan memuaskan,5
Gojek,"Dari jaman pertama kali ada gojek, aku udah pakai, bahkan dagangan saya tiap hari pakai gosend. Alhamdulillah laris manis sampai banyak driver ngetem deket rumah. Terimakasih Go-Jek sukses selalu",5
Gojek,Lumayqn sihh,3
Gojek,"Tolong Untuk Pihak Developer. Agar diberi batasan untuk para driver nya yang sering nge cancel orderan. diberi batasan 1-2x sehari, Atau 3x dalam seminggu. agar tidak Menunggu terlalu lama pada saat Order GOSEND / Gofood",3
Gojek,"Coba Isi reff 👉 L B 1 U M A 👈 tanpa spasi saat melakukan pinjaman di gopay,aku suka aplikasi ini, sangat bantu aku dalam pergi2 kemana2, driver nya juga pada baik2 sih, terus ada fitur lain juga (aku baru nyoba yang ngantar barang aja), terus kan ada kayak teks di update gojek nya itu aku sering baca2 karena lucu banget pliss 🥺, tapi pliss ya gojek kalau kasih driver jangan jauh2 pliss, aku jadi gak bisa sampai ke tujuan dalam keadaan gak telat, jadi pliss ya kasih driver jangan jauh2 ya,",5
Gojek,bagus bgt bwt kita para pelas buat pesen makn lah buat jalan keluar lah. yang paling saya suka di apk Gojek tuh dia punya banyak promo besar-besaran kalian harus coba sih,5
Gojek,kerenn,5
Gojek,"sangatsangat memudahkan perjalanan meskipun kota itu baru pertamakali di datangi, thanks",5
Gojek,Sampah,1
Gojek,selalu gercep saat ada pesanan,5
Gojek,susah nyari driver!,2
Gojek,bagus tp klo gofudnya mahal2 amat males,5
Gojek,"Tolong lah kl pas saya pesan driver nya harus dekat dengan resto.biar pun ramai orderan, kadang kl orderan sudah ramai pasti ngambil driver nya yg jauh2.mohon sistem nya di perbaiki.makasih",4
Gojek,banyak permasalahan,1
Gojek,good thank you,5
Gojek,baik,5
Gojek,top markotop,5
Gojek,semangat bagi yg pejuang rupiah,5
Gojek,i love you buat pembuatnya,5
Gojek,tolong turunin potongan fee untuk driver. jangan kegedean.,5
Gojek,aman terpercaya,5
Gojek,ok praktis,5
Gojek,gojek ok,5
Gojek,Sangaaat puas se x,5
Gojek,driver nya ramah dan sangat menyenangkan,5
Gojek,Gojek memang paling top,5
Gojek,lebih murah lebih cepat,5
Gojek,sangat membantu saya....,5
Gojek,selalu okeeee,5
Gojek,aplikasi lemot,1
Gojek,matap,5
Gojek,Sangat terbantu utk berbagai kegiatan,5
Gojek,Semakin susah dapat driver terutama order food.,1
Gojek,"driver ramah, perjalanan malam dilayani dengan baik",5
Gojek,jos jis,5
Gojek,"sering telat tapi gak dapet vocer, gk mau rugi banget",1
Gojek,sudah mendownload pas mau seratus keulang lagi jadinnol,1
Gojek,jelek ngasih titik gak pernah akurat,1
Gojek,"kalau ingin aplikasi ini dicintai pelanggan segeralah hapus aplikasi hemat, karena tdk ada satupun driver yg tertarik untuk mengambil orderanya, belum lagi pelanggan kesulitan utk mencari driver, disaat hujan sudah pasti pelanggan memilih maxim dan grab karena sudah pasti kesulitan mencari drivernya, jujur gojek sekarang sudah makin parah layananya",1
Gojek,kalau nagih itu agak maksa suruh cepat bayar. Blm jatuh tempo di tagih berkali surh buru2 bayar,1
Gojek,mempermudah,5
Gojek,terima kasih,5
Gojek,aplikasi kocak,1
Gojek,mantaap,5
Gojek,sangat nyaman orangnya,5
Gojek,Mudah dan nyaman,5
Gojek,perjalanan cpt lancar dn nyaman gunakan aplikasi gojek,5
Gojek,on time,5
Gojek,"pantes saham nya anjlok, baru aja mau pakai, daftarnya aja susahnya minta ampun, bnyk kali lag nya",1
Gojek,mantab,5
Gojek,Terima kasih,5
Gojek,aplikasi yang sangat membantu,5
Gojek,bagi banget,5
Gojek,makin keren dan harus menjadi transporter yang profesional,5
Gojek,mudah aman dan cepat,5
Gojek,ok. puas pake hojek,5
Gojek,apk busuk,1
Gojek,GG GO-JEK Good... 👍,5
Gojek,"aman ,nyaman ,lengkap atribut ,pelayanan ok banget",5
Gojek,selalu menjadi andalan,5
Gojek,apalah udh di intsal malah stak logo,1
Gojek,cepet sampe,5
Gojek,Ok,5
Gojek,sukses selalu gojek indonesia,5
Gojek,kerja bagus,3
Gojek,"kecewa Ama gopay dan gojek,masak main game dan udah selesai misi nya gak bisa klaim hadiah nya.padahal saya sudah lapor masalah",1
Gojek,respon customer service buruk...,1
Gojek,membantu sekali,5
Gojek,LANGGANAN GACOR GOJEK ADALAH PERBUDAKAN DAN EKSPLOITASI MANUSIA BAGI PENGEMUDI. SEMOGA GOJEK CEPAT BANGKRUTTTT. SHAME ON YOU...,1
Gojek,nyaman untuk saat ini,5
Gojek,mantap...,5
Gojek,semoga gojek selalu memberikan yang terbaik untuk konsumen,5
Gojek,All good,5
Gojek,dengan adanya gojek ini sangat membatu apalagi on time mks gojek..😁🙏,5
Gojek,Fitur pembelian listrik s elalu gangguan heran deh,1
Gojek,"mkch gojek ,sangat membantu sekali ,smg sllu sukses .",5
Gojek,"Aplikasi sangat buruk, service buruk,",1
Gojek,oke lah,5
Gojek,"kalo harga n promo, ntah kenapa lebih wow ya disini dibanding sebelah 👀",5
Gojek,semoga lebih baik lagi.,5
Gojek,"gojek jadi jelek banget. masa gara gara pake gopaylater saya kena 2 kali transaksi. pake logika masa saya pesan 2 mobil dalam satu waktu, apakah sama mau nipu ya. saya pelanggan yang selalu tepat bayar paylater tapi malah dikecewakan",1
Gojek,Good,4
Gojek,kerenn bagus sekali,5
Gojek,selalu berbuat lebih baik lagi,5
Gojek,senang pesan golek cepat tangkas,5
Gojek,diskon nya banyak.. drivernya juga banyak pokoknya ga nyesel pake gojek,5
Gojek,Kicau,5
Gojek,lumayan. kalau ada promo lebih lumayan lagi,4
Gojek,"makin ditingkatkan skill driver dan kendaraan nya, sukses terus",5
Gojek,Kenapa selalu di minta update aplikasi ya. Saat akan Update memori penuh. Haduh mending tidak usah pakai lagi sudah,1
Gojek,"sangat membantu sekali, bila keadaan TDK BS keluar sy BS pesan gofood di gojek. thanks BPK , mas, mba udah anterin walaupun hujan deras sklipun",5
Gojek,apk ini sangat muda dan kita cpt smpe tujuan... buat Klian yg blom download tunggu ap lgi buruan,5
Gojek,"Tolong benerin aplikasinya ya min, ini kejadian yang saya alami hampir beberapa kali nentuin lokasi tujuan malah cari manual, iya kalo lagi dirumah masalahnya pas lagi urgent jam pulang pengen cepet-cepet sampai rumah nyari lokasi tujuan cari manual di maps, kan repot kalo gitu.",3
Gojek,wow gojek luar biasa dlm pelayanan,5
Gojek,terima kasih sdh dijemput dan diantar dengan cepat dan aman.,5
Gojek,"dear kepada pengembangan gojek, jujur dengan adanya layanan sibuk langganan jam gacor membuat sebagian driver susah mendapatkan order, ketika di jam tertentu layanan GO-RIDE tidak bisa dan tombol layanan disable.. juga GO-RIDE hemat hanya masuk kepada driver yg berlangganan gacor, imbasnya pada driver yg nggak berlangganan dan blm memenuhi syarat susah mendapatkan order!",1
Gojek,tidak menunggu lama driver langsung tiba.,5
Gojek,"APLIKASI BURUK! Suka banget naikin ongkir saat akan memesan makanan, padahal tidak ada hujan, tiba-tiba naik dari 1000 ke 2.800, bukan sekali dua kali, tapi SERING!! LEBIH BAGUS aplikasi Grab, Maxim, dan aplikasi serupa lainnya daripada aplikasi kapitalis pemeras user dan seller!",1
Gojek,sekrng titik nya g sesuai 😌,3
Gojek,ga bisa ninggalin pesan buat drivier pas lg nganter barang 😔. harusny bsa .,1
Gojek,terbantu dengan adanya gojek ini,5
Gojek,anter pesenan susah nya melacak lokasi maaf ya ta pindah,4
Gojek,tolong di hapus goraid hemat nya.ngerugiin driver.,1
Gojek,"terbanti banget dengan adanya gojeg, semoga para driver semakin sejatera dan sehat selalu Aamiin",5
Gojek,"ok, mantap sejauh ini",5
Gojek,setelah di update kok promo nya jd gk ada ya?,5
Gojek,saya suka aplikasi nya bagus dan murah,4
Gojek,pelayanan ok,5
Gojek,tambah malas gopay leter udah gak bisa gofood ongkir y skrng mahal banget mending pake shopee food gofood jelek terlalu mahal,1
Gojek,banyakin promonya,5
Gojek,langganan pakai gojek sangat bagus,5
Gojek,sesuai ekspektasi,5
Gojek,"solusi dong ini driver suka minta naik harga kalau udah lintas kota, mintanya harga pp, harga jadi dua kali lipat",2
Gojek,"Alhamdulillah semenjak ada langganan gacor, driver lebih sering nahan perut lapar",1
Gojek,SUMPAH ANEH BANGET GAUSA NGASIH PILIHAN ONGKIR MURAH KALO NYATANYA PILIH ITU GAK DAPET DRIVER SUDAH NUNGGU SEJAM SETENGAH BARU BS DIBATALKAN MAAGH SAYA SAMPE KAMBUH GILAAAA BANGET,1
Gojek,"sedikit mengecewakan. nunggu lama bngt pdhl, driver pun bukan yg hemat",2
Gojek,saya buka aplikasi akhir akhir ini gbsa truss,1
